Customer_ID,Age,Gender,Annual_Income,Spending_Score,City,Review_Text,Membership_Duration,Purchase_Frequency,Satisfaction_Rating,Income_to_Spending_Ratio,Age_Group,Is_High_Spender,Income_Category,Purchase_Intensity,Engagement_Score,Customer_Segment,City_Tier,Review_Length,Positive_Feedback,Avg_Spend_per_Visit,Loyalty_Index,Has_Long_Membership,Digital_Engagement,Churn(target)
1,,Male,167717,1,Kolkata,Loved it,,18,4,83858.5,Middle-Aged,0,Very High,1.8,7.954018614,A,Tier 1,8,1,80.70292756,7.105004467,1,0.343011766,0
2,24,Female,,19,Kolkata,Could be better,1,12,5,6021.1,,,High,22.8,8.295241904,D,Tier 3,15,1,367.8545163,5.496279878,0,,0
3,31,Female,82665,53,Mumbai,Average quality,,12,3,1530.833333,Adult,0,Medium,63.6,2.303668992,B,Tier 1,15,0,716.8585828,8.46390151,,0.635137048,0
4,21,Other,113860,,Mumbai,Not satisfied,9,13,2,7590.666667,Youth,0,High,18.2,5.944107105,D,Tier 1,13,,516.8421674,5.94855209,1,0.604715608,0
5,58,Other,122489,98,Delhi,Not satisfied,6,4,4,1237.262626,,1,High,39.2,7.189124871,A,Tier 1,13,1,8988.662554,9.154944004,1,0.464089931,0
6,54,Male,122399,31,Mumbai,Could be better,9,6,5,3824.96875,Middle-Aged,0,High,18.6,3.998049021,D,Tier 3,15,1,1816.639022,8.863617727,1,0.781456299,0
7,45,Male,193570,38,Kolkata,Not satisfied,6,1,5,,Middle-Aged,0,Very High,3.8,7.15125335,B,Tier 2,13,0,1020.613012,8.145643113,1,0.66638669,0
8,58,Male,134161,84,Kolkata,Excellent,7,,3,1578.364706,,1,,92.4,6.967259924,B,Tier 1,9,1,4552.214166,5.593024409,1,0.194131025,0
9,35,Other,29196,31,Kolkata,Average quality,7,14,5,912.375,Adult,0,Low,43.4,,D,Tier 3,15,1,2781.178911,6.536582302,1,0.735038643,0
10,33,Female,35504,,Kolkata,Excellent,4,9,1,1868.631579,Adult,0,,16.2,9.330972187,C,Tier 3,9,0,,1.585942233,0,0.743933924,0
11,61,Other,43104,17,Delhi,Not satisfied,5,7,1,2394.666667,Senior,0,Low,11.9,,C,Tier 1,13,0,640.9236061,6.94474201,0,0.728598156,0
12,52,Other,189801,61,Chennai,Very bad,,10,,3061.306452,Middle-Aged,,Very High,61,9.876966891,C,Tier 3,,0,4653.205957,7.292164744,0,0.118941327,1
13,39,Male,142002,58,Bangalore,Loved it,6,,4,2406.813559,Adult,0,High,92.8,5.156580631,D,Tier 2,8,1,5274.525864,6.537748862,1,0.255904043,0
14,61,Male,40863,59,Chennai,Good product,1,17,5,681.05,,0,Low,100.3,2.468258886,C,,,1,2839.195917,4.834710927,0,0.075551267,0
14,61,Male,40863,59,Chennai,Good product,1,17,5,681.05,,0,Low,100.3,2.468258886,C,,,1,2839.195917,4.834710927,0,0.075551267,0
15,62,Other,91916,53,Chennai,Loved it,3,1,3,1702.148148,Senior,0,Medium,5.3,2.212803203,B,Tier 1,8,0,2225.534662,7.805341107,0,0.594828706,0
16,51,Other,171697,67,Kolkata,Very bad,8,15,2,2524.955882,Middle-Aged,0,Very High,100.5,2.058477712,C,Tier 3,8,1,,7.868610965,1,0.435638388,1
17,35,Female,112172,43,Kolkata,Could be better,6,10,4,2549.363636,Adult,0,High,43,2.859949065,A,Tier 2,15,1,1742.225443,7.964096582,1,0.836268398,0
18,56,Male,23720,83,Kolkata,Very bad,5,17,4,282.3809524,Middle-Aged,1,Low,141.1,4.75289743,C,Tier 2,8,0,1729.469496,5.94054559,0,0.496014545,0
20,33,Other,32379,77,Chennai,Not satisfied,5,18,1,415.1153846,Adult,1,Low,138.6,6.813747595,A,Tier 3,13,0,5190.260167,4.811455349,0,0.686376357,0
21,38,Female,110436,92,Delhi,Could be better,4,10,3,1187.483871,Adult,1,High,92,,B,Tier 1,,1,4398.564802,3.979551939,0,0.510450235,0
22,53,Male,168630,39,,Not satisfied,7,1,3,4215.75,Middle-Aged,0,Very High,3.9,3.049430847,B,Tier 1,13,0,2998.762757,4.834543779,1,,0
